timestamp,dataset,task,algorithm,target_col,split,n_train,n_test,accuracy,precision,recall,f1,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,mae,rmse,r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,silhouette_score,cv_silhouette_mean,cv_silhouette_std,n_clusters,notes
2026-08-01T15:27:55.796332,pgcb_hourly_generation,regression,xgboost,generation_mw,chronological_85%,,,,,,,,,,,1719.9959,2082.1843,0.1205,1600.9944,1692.44,116571.2078,202958.1497,-155.7295,312.8445,,,,,
2026-08-01T15:27:57.358380,pgcb_hourly_generation,regression,ridge,generation_mw,chronological_85%,,,,,,,,,,,2510.055,3020.7653,-0.8512,2587.6696,3677.2126,136400.4589,270760.8247,0.2787,0.8217,,,,,
2026-08-01T15:28:27.033555,pgcb_hourly_generation,regression,random_forest_regressor,generation_mw,chronological_85%,,,,,,,,,,,924.8609,13064.4349,-33.6258,1282.355,1636.669,106863.3724,206474.7114,-6.293,13.9513,,,,,
2026-08-01T16:25:28.154458,healthcare_dataset_stroke,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.2265,0.1873,0.0135,5,
2026-08-01T16:25:36.320888,healthcare_dataset_stroke,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.1842,,,3,
2026-08-01T16:25:47.854554,healthcare_dataset_stroke,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,0.4164,,,77,outliers=351
2026-08-01T16:25:58.205370,healthcare_dataset_stroke,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1837,0.168,0.0105,3,
2026-08-01T16:26:01.978757,neurofibromatosis,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.1307,0.1372,0.0161,3,
2026-08-01T16:26:04.961345,neurofibromatosis,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.3742,,,2,
2026-08-01T16:26:07.344579,neurofibromatosis,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.1752,,,4,outliers=247
2026-08-01T16:26:10.106125,neurofibromatosis,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.3676,0.2393,0.0837,3,
2026-08-01T16:26:26.757088,higher_education_predictors_of_student_retention,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.1858,0.186,0.0004,2,
2026-08-01T16:26:36.674469,higher_education_predictors_of_student_retention,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.174,,,3,
2026-08-01T16:26:44.466214,higher_education_predictors_of_student_retention,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.0391,,,7,outliers=2074
